source,target,weight,description,text_unit_ids,id,human_readable_id,source_degree,target_degree,rank
"""CONTROLUNIT""","""[0724-381]""",1.0,"""The communication from [0724-381] was intended for CONTROLUNIT, but there was no response.""",['32dd9f1e052bb8720a07b05aa6fb5e27'],81446ea789b24eaf9eab02dc07c3d984,116,3,1,4
"""CONTROLUNIT""","""U12_2311_IDC23""",1.0,"""U12_2311_IDC23 is associated with a control unit that has not responded.""",['663b1326fe05422c58ed1902d31e3b29'],79f4b1c1b2be4cf7aa828846e20a4eb6,117,3,2,5
"""CONTROLUNIT""","""CAR""",1.0,"""The Car is connected to the control unit that has failed to respond.""",['663b1326fe05422c58ed1902d31e3b29'],de04830d6e414fd5b39a9e90769d9452,118,3,1,4
"""IDC23_D""","""MGU22-TEST-EXECUTION-ENVIRONMENT""",1.0,"""IDC23_D occurred in the mgu22-test-execution-environment.""",['bd6d9a5cf87b1af138c29eb3af9c5414'],69db426b97714835bf4937180774787a,119,2,5,7
"""IDC23_D""","""POST_SERIAL_MARKER_TESTS""",1.0,"""IDC23_D is related to the failure of post_serial_marker_tests during ioc execution.""",['bd6d9a5cf87b1af138c29eb3af9c5414'],9c7bc862339d4a5bb21ee5154d9b33bb,120,2,1,3
"""MGU22-TEST-EXECUTION-ENVIRONMENT""","""IDC23_ML BAT FAILURE""",1.0,"""The BAT Failure occurred in the mgu22-test-execution-environment.""",['cab271ab0f3742e4c18dd6a66b5e86fd'],17bad53a0ebe4569839e5e151ff78593,121,5,5,10
"""MGU22-TEST-EXECUTION-ENVIRONMENT""","""MGU22_F""",1.0,"""MGU22_F took place in the mgu22-test-execution-environment.""",['fce2cc9025ae0fb6f2180ece37d3ab9a'],53d98f08e7c74158b7318357b6c660b3,122,5,3,8
"""MGU22-TEST-EXECUTION-ENVIRONMENT""","""ACT_FAULT""",1.0,"""The ACT_FAULT occurred during a check process in the mgu22-test-execution-environment.""",['fce2cc9025ae0fb6f2180ece37d3ab9a'],cd601f77419c403889aadeee591915b5,123,5,1,6
"""MGU22-TEST-EXECUTION-ENVIRONMENT""","""IDC23_F""",1.0,"""IDC23_F took place in the mgu22-test-execution-environment.""",['aeabc848d13f599e65a605c7e209813c'],0f564ebd53e940fba9d16674ac7bc038,124,5,5,10
"""BI_2307""","""PU2307""",1.0,"""The component pu2307 is part of the system BI_2307.""",['c06fc6dd3a2a71fb3c9ffae93ae426f6'],7deb75816e4f473480e0c79ae99b5bf4,125,4,1,5
"""BI_2307""","""PU23-07""",1.0,"""The organization BI_2307 experienced an event (PU23-07) that triggered a Hard Error Reset.""",['9790ebc82f7160ddd73beb7d7f7fbe30'],7f85b181f1184f77aeb3ea2155cf4027,126,4,1,5
"""BOTSCHAFT""","""FIELD DISPLAYARROWS""",1.0,"""The Field displayArrows location is associated with the Botschaft event.""",['6bd2fe643bdcc6be72047366d70c9d36'],d148b2b2033048618f1a090a492a40a5,127,2,1,3
"""KOMBI""","""MANUAL RESET""",1.0,"""The action of manual reset is necessary for Kombi to function.""",['dcbbc08412a95a4863db9dfed9ae7a41'],4d839a10353e4144a26563b0966721d5,128,2,1,3
"""TARGET""","""UV CONDITIONS""",1.0,"""The Target is affected by the UV Conditions, resulting in its inactivity.""",['20db9c0dd62cade55b075611582ceb52'],521a862bb196488389f17c0b0f4b6f4d,129,2,1,3
"""TARGET""","""NSM""",1.0,"""The target did not respond to a command issued by nsm.""",['fc5ae552d34d6d1852b07859a0f96722'],22ea3328fb6343f4ad2862495ea27640,130,2,1,3
"""U006_7J70681""","""IDC23_E""",1.0,"""The device U006_7J70681 is located in the system IDC23_E.""",['a54f32c60cd4cca34c0a066fab49ca87'],3f9a2a2c1c0a424e8b4980ea9d48bdbe,131,2,4,6
"""U006_7J70681""","""WAKEUP_REASON_IOC_WATCHDOG_RESET""",1.0,"""The device U006_7J70681 experienced the event WAKEUP_REASON_IOC_WATCHDOG_RESET.""",['a54f32c60cd4cca34c0a066fab49ca87'],aa2ec452728a4703ae1bdabe85b6c079,132,2,5,7
"""IDC23_E""","""WAKEUP_REASON_IOC_WATCHDOG_RESET""",1.0,"""The event WAKEUP_REASON_IOC_WATCHDOG_RESET occurred in the system IDC23_E.""",['a54f32c60cd4cca34c0a066fab49ca87'],c5ddb31e0a9c4b2683e4631283dd505b,133,4,5,9
"""IDC23_E""","""7L54719""",1.0,"""IDC23_E is responsible for reporting the event (IOC_WATCHDOG_RESET) for flight 7L54719.""",['4102370503cd9bf6c2f6d53fc36975c2'],07d8eeb549044ac88d2e788c146a0ef1,134,4,2,6
"""IDC23_E""","""LCM_SHUTDOWN_UNINTENDED_START_WO_REASON""",1.0,"""The LCM_SHUTDOWN_UNINTENDED_START_WO_REASON event occurred within the IDC23_E organization.""",['d4d16109ee09bb9a72b3728a9f1c6ac3'],47df2815030c4f1c99facd5cf2482526,135,4,6,10
"""WAKEUP_REASON_IOC_WATCHDOG_RESET""","""LIFECYCLE""",1.0,"""The unexpected event WAKEUP_REASON_IOC_WATCHDOG_RESET affected the lifecycle of the system.""",['d58af2774383a48d5ddffee5074893a6'],ae521508bdc244f99c4fce4ab5214c79,136,5,5,10
"""WAKEUP_REASON_IOC_WATCHDOG_RESET""","""[IDC23_ML]""",1.0,"""The organization [IDC23_ML] has issued a wake-up command due to the event WAKEUP_REASON_IOC_WATCHDOG_RESET.""",['4f335fde2d28f448a0915ffcfef01855'],6315b4bf135c40358823ed7e4e4060e2,137,5,1,6
"""[BI][HU][IDC][PU2311]""","""STR""",1.0,"""The STR software is part of the [BI][HU][IDC][pu2311] system and has caused it to enter an alarm update loop.""",['6963ec899be88537c2941c7683d0cfcb'],33905debec1a45ecae1c65daac1d854c,138,1,7,8
"""STR""","""TIMEOUT""",1.0,"""The timeout event triggered the exit of the STR software within the [BI][HU][IDC][pu2311] system.""",['6963ec899be88537c2941c7683d0cfcb'],bfbe904780fe47daad1a04126b12923c,139,7,1,8
"""STR""","""SYSTEM""",1.0,"""The System resumes from STR, causing an unexpected wake-up and graceful power-off.""",['4cb16c8995629cafeed255165bc44360'],0614f00e932c4cd0b53928053811ebc1,140,7,1,8
"""STR""","""MGU22_G""",1.0,"""The event WAKEUP_REASON_WATCHDOG_RESET was observed during STR while MGU22_G was in operation."")<|COMPLETE|> (""entity""",['cc785dd030908551f67b83fc75dc56ca'],9ef487dd0b574b108c60a56d6a2f146c,141,7,1,8
"""STR""","""RVC""",1.0,"""The RVC system or device is activated after the STR device has started up.""",['b1edebca8079ae04f91698fa6fa203cb'],4067269e7f6943cdbc299ce02b7eadbd,142,7,1,8
"""STR""","""SANITY REBOOT""",1.0,"""The STR event is associated with the Sanity Reboot process.""",['4747961b7d704e7afe64e6d22c7d010d'],094a736ba43c4da48c556437f47f88d1,143,7,1,8
"""FAHREN""","""7L54719""",1.0,"""The event occurred in the location Fahren for flight 7L54719.""",['4102370503cd9bf6c2f6d53fc36975c2'],563c2af32bb3476299e9b24a646097ab,144,2,2,4
"""FAHREN""","""NM3""",1.0,"""Both Fahren and NM3 are locations where the ending of STR is taking place during the lifecycle test scenario.""",['19481b31bad12e8d64f13ffe10364cda'],d59b49eb94ce442d89907e90c5d3a44e,145,2,1,3
"""BI_D2ML MGU22""","""TEMPERATURE SENSORS""",1.0,"""The organization, BI_D2ML MGU22, has temperature sensors that are malfunctioning.""",['1dffee3b908bcf0751d4b6877aca42ea'],8ea7cef407df48098046551e303e1c64,146,1,2,3
"""TEMPERATURE SENSORS""","""DLT""",1.0,"""The incorrect readings from the temperature sensors in BI_D2ML MGU22 are being reported at DLT.""",['1dffee3b908bcf0751d4b6877aca42ea'],186e60d2176547bf84e5bf87bd16bb40,147,2,2,4
"""BI_2311""","""NO CONTENT""",1.0,"""BI_2311 has no visible content on the HUD.""",['e63e71033e5973e3521ddff778ca35d3'],e65017091c8d4c7daa45b6c8414e0465,148,4,1,5
"""BI_2311""","""PU23-11""",1.0,"""The organization BI_2311 experienced the event PU23-11, which was an unexpected Hard Error Reset.""",['4f2192a3cefeb2e045757f4c98cb538e'],a0f326b9597b49dda6563e9208316117,149,4,1,5
"""BI_2311""","""VEHICLE""",1.0,"""BI_2311 is a component of the vehicle that has malfunctioned.""",['6d366f29543ceb4666afebe8b2a7fb2f'],bff3db70f9af4f2c87a93df48ecbb6bc,150,4,4,8
"""STR STATE""","""APIX CHIP""",1.0,"""The STR State is the location where the APIX Chip malfunctioned.""",['2701318aa6b7a9afac87cdf7f06be4fa'],bf91f36307cb43e1ab1e967cb3ba8274,151,2,2,4
"""APIX MB0""","""INCORRECT CONFIGURATION""",1.0,"""The APIX MB0 technology has an incorrect configuration."")<|COMPLETE|> (""entity""",['046b9075b99ef77e1f8fa7d1156334bc'],cd58a8740ba54d86a77db9bb9544ef0d,152,3,1,4
"""APIX MB0""","""[BI-E2-ML]""",1.0,"""The APIX MB0 technology is managed or used by the [BI-E2-ML] organization.""",['4b03f045ca7c1bdd67310c061680f0c5'],e96d3475d43b42a781b297ae7e650afe,153,3,2,5
"""UNEXPECTED WAKEUP REASON""","""GRACEFUL POWER OFF""",1.0,"""The unexpected event was observed during the graceful power off of the system.""",['ddc5db0d99054990fc7e3df37f711e27'],1ce76a5547854d458878bd445f0ccbd6,154,1,1,2
"""[MGU22]""","""[IUK_CAN]""",1.0,"""The event [MGU22] is happening at the location [IuK_CAN].""",['e5d2a321469250dee3b1b85e9b569a2b'],11e4325f59394ff1bc89892f79288702,155,3,1,4
"""[MGU22]""","""VOLTAGE TEST""",1.0,"""The voltage test is being conducted at [MGU22], indicating its location.""",['03a78e6d89d1dfd1f291689da2203e0d'],71743537a07c440ea1710a269da8b538,156,3,2,5
"""[ZST]""","""[TC 2.1]""",1.0,"""The time [ZST] is associated with the event [TC 2.1].""",['e5d2a321469250dee3b1b85e9b569a2b'],1389192ce5464be6b3b5749bc9536709,157,2,1,3
"""[ZST]""","""[TC 2.3]""",1.0,"""The communication concept or protocol [TC 2.3] is associated with the time zone [ZST]."")<|COMPLETE|> (""entity""",['c51fbbba65ab5cfc2a7399114b4afc72'],b349041c0be64c62b964ab1234e055e6,158,2,2,4
"""MGU_02_A""","""BI_2311TO2403""",1.0,"""The event BI_2311to2403 occurred within the organization MGU_02_A.""",['8561914d860570076ff3ce9f41682bc4'],969e1ea0b1e443a68e9a65dfef91d161,159,4,4,8
"""MGU_02_A""","""RSU""",1.0,"""The activation of the RSU caused MGU_02_A to enter 'Flash Mode'.""",['54a15d140b297609b48abc816e38da3d'],8e09e7cfea7d405db8b22ae2f836ccb1,160,4,6,10
"""MGU_02_A""","""RSU PU""",1.0,"""The journey data of MGU_02_A was altered after an upgrade at RSU PU.""",['e67a8c180e24e5284a02a114305b264d'],490583524d394bf79289c5fe34f7dcf1,161,4,2,6
"""MGU_02_A""","""24-07""",1.0,"""Changes in MGU_02_A's journey data occurred on 24-07, following an upgrade at RSU PU.""",['e67a8c180e24e5284a02a114305b264d'],d7db38bb599c42cab7066f3fdd282282,162,4,2,6
"""IDC_KOMBI DISPLAY""","""DRIVING""",1.0,"""The IDC_Kombi Display cannot be used while driving.""",['76c05aa95fb4be4ccf65725072d479ba'],efd87a59d01e47c8adc02f63ef2c5c3e,163,1,1,2
"""U12ICE_IDC""","""VEHICLE""",1.0,"""U12ICE_IDC is responsible for addressing the issue with the vehicle that displays a black screen during startup.""",['43589fe9a00b5cd521a6f3d5ea3e87ac'],80e3ce3de41e4601823a333e22b7bb3f,164,1,4,5
"""VEHICLE""","""G68__IDC23_CID""",1.0,"""The G68__IDC23_CID is associated with a vehicle, and its activity status is affected by the locking action on the vehicle.""",['98d9ad1f817227c5f61267561edb5a29'],50eabc166e8944a49197e79c32f27597,165,4,1,5
"""WDG ERROR""","""IOC - MAINLINE""",1.0,"""The WDG ERROR occurred at IOC - Mainline, causing target setup failures.""",['be4e3c313a76922c52076bc989ed8134'],5197a3fb02ef4677abd1900aa87e4efa,166,2,1,3
"""WDG ERROR""","""TARGET SETUP FAILURES""",1.0,"""Target setup failures were caused by the WDG ERROR in IOC - Mainline.""",['be4e3c313a76922c52076bc989ed8134'],887f444240bb474da23cdfb6abf7a998,167,2,1,3
"""[IDC23 SI]""","""STR TEST""",1.0,"""The organization [IDC23 SI] is responsible for conducting the STR Test, which has reported failures.""",['57f109cc789d99591333a9eab93f716c'],5d29053f2ce74442aa1855b327ef3bb7,168,1,2,3
"""STR TEST""","""WUP MANAGEMENT""",1.0,"""The STR Test is being conducted in conjunction with WUP Management during the lifecycle test scenario.""",['19481b31bad12e8d64f13ffe10364cda'],7e40cd12839a4577a95e33d785147a31,169,2,1,3
"""BLACK CID""","""COLD BOOT""",1.0,"""Black CID's actions are directly related to the Cold Boot event.""",['c9fd7c7cbe732bcec09c19d35febcaaf'],8fe58de8a04f4f8f807c77fb41829a3a,170,2,1,3
"""BLACK CID""","""RFK""",1.0,"""Robert F. Kennedy may be associated with Black CID, influencing their actions or the context of the Cold Boot event.""",['c9fd7c7cbe732bcec09c19d35febcaaf'],a9f50861273c4bb697d868a9d049d392,171,2,1,3
"""MGU_02_L""","""RSU""",2.0," At the RSU location, the Machine Guard Unit (MGU_02_L) did not initiate a restart of the RSU over the Human-Machine Interface (HMI), but it is important to note that the lifecycle of MGU_02_L was previously engaged during a chunk transfer at the same RSU location. This suggests that while MGU_02_L does not start the RSU over HMI, it has been involved in other operational activities related to data transfers at the RSU.",['1d9d7ab8e8e26dabca265f83b6c769f4' '7d1a061b758da894b990616789cdeaeb'],be4820f29fd942b282049fa49697b4ed,172,2,6,8
"""MGU_02_L""","""HMI""",1.0,"""The location of HMI is relevant to the actions or commands involving MGU_02_L and RSU.""",['7d1a061b758da894b990616789cdeaeb'],6deaefe707f84b3dbda979dea0d095ac,173,2,3,5
"""[PU23-07]""","""ORGANIZATION""",1.0,"""The organization responsible for handling this event will need to address the Unexpected HARD_Error_Reset.""",['8758fe93d5c253a88c97ac51e89237d2'],d053ea9432a24fb192e8d6aa993b0caa,174,1,1,2
"""RSU-VIP-G070-23-07-533""","""FUSI""",1.0,"""The fatal error occurred during an attempt to use FuSi for vehicle clearance.""",['a4260298f4959dba8b6c03551ae0f618'],a3e683d294ed42a28d60d09a36cbeb54,175,1,1,2
"""IDC23 SI""","""SYSMAN""",1.0,"""IDC23 SI is employing SYSMAN to manage the lifecycle test scenarios.""",['19481b31bad12e8d64f13ffe10364cda'],39887ca8567141d5b857b87a2bca4086,176,1,1,2
"""[MGU22_E]""","""[TC 2.3]""",1.0,"""The communication issue [MGU22_E] involves the concept or term [TC 2.3]."")<|COMPLETE|> (""entity""",['2839fbc9d019e6693439329e5fdfb5a2'],8df8563ab0394ee9a91b89dea7d59404,177,1,2,3
"""LIFECYCLE""","""MGU22_F""",1.0,"""MGU22_F is part of the lifecycle of an entity, specifically going through a quiescence phase."")<|COMPLETE|> (""entity""",['9e33bda60d240a6b736314369d0ce78c'],12398f70065143839d812fd42ac4b2e7,178,5,3,8
"""LIFECYCLE""","""MGU_G""",1.0,"""Lifecycle is involved in the observation of high current during STR LC with MGU_G.""",['995bb26d8497c3ce073dce7e0b029cb1'],74d43d20f251441baf8e3db64fedca43,179,5,2,7
"""LIFECYCLE""","""FIELD MODE""",1.0,"""Lifecycle operates in Field mode during the observation of high current during STR LC.""",['995bb26d8497c3ce073dce7e0b029cb1'],1b7a22f76f7741e8b140bdc3d8856d76,180,5,2,7
"""PADI SI""","""0XA7981B""",1.0,"""PaDi SI has encountered the DTC 0xA7981B in its system.""",['018ee9a00bbc1f766288a1d00e47abd2'],b823ba1bfe944fa9887edd8faf8a5f17,181,2,1,3
"""PADI SI""","""RESETFEHLER IOCONTROLLER""",1.0,"""The error in the Input/Output Controller of the PaDi SI system is causing issues for the organization.""",['018ee9a00bbc1f766288a1d00e47abd2'],d0bfb473fdc64643954cdb4675e2f389,182,2,2,4
"""RESETFEHLER IOCONTROLLER""","""KI028""",1.0,"""The event 'Resetfehler IOController' is associated with the organization 'KI028'."")<|COMPLETE|> (""entity""",['98a04f71b2a6f6be26a586dee58615f0'],a4db1b2a9c3e4d2d838725f8166c36b4,183,2,1,3
"""IDC23_ML BAT FAILURE""","""WATCHDOG_RESET""",1.0,"""The Watchdog_reset may have been affected by the IDC23_ML BAT Failure.""",['cab271ab0f3742e4c18dd6a66b5e86fd'],8dae140578c841ae9373cbc607c4a6e6,184,5,1,6
"""IDC23_ML BAT FAILURE""","""UNEXPECTED BOD_VDDD_RESET""",1.0,"""The unexpected BOD_VDDD_RESET was seen in traces as a result of the IDC23_ML BAT Failure.""",['cab271ab0f3742e4c18dd6a66b5e86fd'],b215cc33cf40434f87f284ff8f3506a4,185,5,1,6
"""IDC23_ML BAT FAILURE""","""SOC LOGS""",1.0,"""The IDC23_ML BAT Failure is recorded in the SOC logs.""",['7f4755e00889a196ce9e227c285b81dd'],c1ff9d8e1b8745d6860c34ce26122d79,186,5,2,7
"""IDC23_ML BAT FAILURE""","""NODE0 SOC FLASH""",1.0,"""The IDC23_ML BAT Failure occurred during the node0 SOC flash.""",['7f4755e00889a196ce9e227c285b81dd'],9d1e6ca9ae8e4e068fb74631a633b20b,187,5,2,7
"""TC 4.2""","""TRANSITION TO ECUPASSIVE""",1.0,"""TC 4.2 seems to be related to the version or state of the transition process."")<|COMPLETE|> (""entity""",['23f381240de778e2bc3a13d23bca3565'],1d7b0deca7674777bf76c163ac065845,188,1,1,2
"""IDC EBVT""","""VALID_SWITCH_TO_POWER""",1.0,"""The IDC eBVT organization is undergoing the VALID_SWITCH_TO_POWER event.""",['6fb7c08d846b530008af10dd8b7c8d42'],03afe9988f864c9fa501bfbf043f74c0,189,5,1,6
"""IDC EBVT""","""BOOTTYPE""",1.0,"""The warm boot of IDC eBVT is triggered by the bootType event.""",['6fb7c08d846b530008af10dd8b7c8d42'],4084f614af494fa8ab73095fb5b6b07b,190,5,1,6
"""IDC EBVT""","""WAKEUP REASON""",1.0,"""The IDC eBVT failure is caused by an issue with the wakeup reason.""",['98234d1b2e4159348f1051c6474a2b92'],3ce25564af6e47f390a0b16b6f9433a1,191,5,1,6
"""IDC EBVT""","""RTC:SWITCH TO POWER""",1.0,"""RTC:SWITCH TO POWER led to the IDC eBVT failure.""",['98234d1b2e4159348f1051c6474a2b92'],78213664d0eb45d1a9239ba4b85b10f7,192,5,1,6
"""IDC EBVT""","""CAN_BUS_ACTIVE""",1.0,"""The IDC eBVT should have been in CAN_BUS_ACTIVE state during the wakeup event but was not, leading to a failure.""",['98234d1b2e4159348f1051c6474a2b92'],1226e4a4077b4b3a970db4d2509b590c,193,5,1,6
"""G045_H021540""","""[MAINLINE]""",1.0,"""[Mainline] is monitoring or controlling the event IOC_WATCHDOG_RESET in the geographical area G045_H021540."")<|COMPLETE|> (""entity""",['605fe89d0c31975979dfde8bc5177ac6'],b4c7de7a824a4a71b9f52193d2f1a10d,194,2,2,4
"""MGU_02_A_PU1123_""","""0XA76300/0XA76301""",1.0,"""The error in MGU_02_A_PU1123_ is related to the system component 0xA76300/0xA76301.""",['4ba35bfc7d338199a00d6fa86d10d864'],b609f1939dae4c7383c7d199bb3c7dc3,195,2,1,3
"""MGU_02_A_PU1123_""","""MGU22:ETH-CTRL.SERVICE""",1.0,"""The error in MGU_02_A_PU1123_ is related to the system service mgu22:eth-ctrl.service.""",['4ba35bfc7d338199a00d6fa86d10d864'],aeee2f443dfb4e3ea80af6ae1d9197ce,196,2,2,4
"""MGU22:ETH-CTRL.SERVICE""","""IDC23_U12_2307_PRODUCTION CAR""",1.0,"""The IDC23_U12_2307_Production Car's crash is associated with the mgu22:eth-ctrl.service.""",['02b8248f10030d085d6e0e72fc9f5ffc'],8c46d37bc26e4d4dbd37d6ee26867bc6,197,2,2,4
"""LCM_SHUTDOWN_UNINTENDED_START_WO_REASON""","""IDC23_ML""",1.0,"""The LCM_SHUTDOWN_UNINTENDED_START_WO_REASON event occurred within the IDC23_ML organization.""",['eed974d4fafa09248a93bc9a1552655a'],58a8fa7f29e347bdb9689b70b065a779,198,6,1,7
"""LCM_SHUTDOWN_UNINTENDED_START_WO_REASON""","""[IDC23_F]""",1.0,"""The organization [IDC23_F] recorded an event of LCM Shutdown Unintended Start Without Reason in its logs.""",['41a88e683c2c4336782cbca122a2f940'],fae3fe31deb141ab93143ac411f1eaaa,199,6,4,10
"""LCM_SHUTDOWN_UNINTENDED_START_WO_REASON""","""LOGS""",1.0,"""The LCM_SHUTDOWN_UNINTENDED_START_WO_REASON event is recorded in the logs.""",['d4d16109ee09bb9a72b3728a9f1c6ac3'],a2cb46c226b94831853a5d28c5d94b0a,200,6,1,7
"""LCM_SHUTDOWN_UNINTENDED_START_WO_REASON""","""UNINTENDED STARTUP""",1.0,"""The LCM_SHUTDOWN_UNINTENDED_START_WO_REASON event is an example of unintended startup.""",['d4d16109ee09bb9a72b3728a9f1c6ac3'],d3511ecd27cd4166bdb39e757e275300,201,6,1,7
"""LCM_SHUTDOWN_UNINTENDED_START_WO_REASON""","""START WITHOUT REASON""",1.0,"""The LCM_SHUTDOWN_UNINTENDED_START_WO_REASON event started without any reason.""",['d4d16109ee09bb9a72b3728a9f1c6ac3'],de3b561f5cce4c83bccb39180e362c97,202,6,1,7
"""NODE0""","""NIGHTLY BUILD BAT""",1.0,"""Node0 is part of the hardware being tested or built during the Nightly Build BAT.""",['3367d1af79b215e1e3bbeda05ec12266'],5bfefaa0fce04002851733337bed714c,203,2,3,5
"""NODE0""","""FLASHING FAILURE""",1.0,"""The flashing failure occurred at Node0, which is a location within the organization's infrastructure.""",['e17bf1f3eed3d870d76a36ec5d026cd3'],b5fed5609f154df58c6a9f74e55fc0ba,204,2,1,3
"""IDC23_F""","""SYSTEM-FUNCTIONS.SYSTEM_FUNCTIONS_POST_TESTS""",1.0,"""IDC23_F is related to the system-functions.system_functions_post_tests function, as it involves a failure in this module.""",['686022cda25cae37331de3a24eaa29d3'],91ae5251eaab4c08afe6cd4cbefcaa6b,205,5,2,7
"""IDC23_F""","""LOG LEVEL OF LSMF DLT MESSAGES""",1.0,"""The IDC23_F event is related to the Log level of LSMF DLT messages, as it involves a failure that may affect the logging of these messages.""",['686022cda25cae37331de3a24eaa29d3'],bbdd53a15e99452a9deff05d1de2d965,206,5,2,7
"""IDC23_F""","""ETH-CTRL.SERVICE""",1.0,"""The eth-ctrl.service failure occurred at IDC23_F.""",['e8f78bf0df9f13468e0754764912d5e8'],532bf54d5a924ff48aee254970efb914,207,5,2,7
"""IDC23_F""","""POST_SERIAL_MARKER_TESTS.CHECK""",1.0,"""IDC23_F is related to the mission post_serial_marker_tests.check.""",['aeabc848d13f599e65a605c7e209813c'],2489232bd2bb492babe00617e7290282,208,5,1,6
"""SYSTEM-FUNCTIONS.SYSTEM_FUNCTIONS_POST_TESTS""","""[IDC23_F]""",1.0,"""The unspecified individual or group represented by [IDC23_F] is responsible for addressing the failure in the system-functions.system_functions_post_tests function.""",['686022cda25cae37331de3a24eaa29d3'],d2ed972353af4d1db74702638bfdbb58,209,2,4,6
"""LOG LEVEL OF LSMF DLT MESSAGES""","""[IDC23_F]""",1.0,"""The unspecified individual or group represented by [IDC23_F] is responsible for addressing any issues that may affect the logging of LSMF DLT messages.""",['686022cda25cae37331de3a24eaa29d3'],575befc8d64c47eb95af8b1096e02963,210,2,4,6
"""[IDC23_F]""","""[2403]""",1.0,"""The organization [IDC23_F] recorded an unintended start of LCM Shutdown at geographical location [2403] in its logs.""",['41a88e683c2c4336782cbca122a2f940'],d6e6366617e04b0ba6732fd1d2d76429,211,4,3,7
"""PROBLEM""","""IDC23 SERIES CAR""",1.0,"""The IDC23 Series Car is experiencing a problem with its DFE."")<|COMPLETE|> (""entity""",['7d90c325caef35c2373d29a64216f8c5'],b4c4354c8edb40db984942799fe0c8b1,212,2,5,7
"""[2403]""","""KL30F""",1.0,"""The event [2403] may be related to the disabling of KL30F, as it has caused multiple wakeups.""",['e82e0a356955e412d05d2f6e3f008e05'],170507a64973429f818067b80506d428,213,3,3,6
"""IOC2403""","""PROBLEM WITH CID AND LC""",1.0,"""IOC2403 is the organization affected by the problem with its CID and LC.""",['ab0db4a2bcca339c26d0d4c5ef065293'],fd9b298e6aea4685bbb2064b05fcda79,214,1,3,4
"""VOLTAGE TEST""","""PLANT ISSUE""",1.0,"""The plant issue may be related to the voltage test, as it requires attention and resolution during or after the test."")<|COMPLETE|> (""entity""",['03a78e6d89d1dfd1f291689da2203e0d'],eeecb159cc8a4c8989f8da0f3df09f2a,215,2,1,3
"""IDC23_U12_2407_CID""","""AZV""",1.0,"""The organization IDC23_U12_2407_CID is possibly connected to AZV in relation to the black screen incident and reset.""",['4f7f7ed2398e013f9d0bf49837d024d4'],70f22b1d7336492dbade94b8edefe457,216,1,2,3
"""NIGHTLY BUILD BAT""","""BI_2403TOML""",1.0,"""BI_2403toML is responsible for the Nightly Build BAT process.""",['e17bf1f3eed3d870d76a36ec5d026cd3'],66e098dc431146e19fc4bc2ea37efbd9,217,3,1,4
"""HU-MGU_02_L""","""RC_ERASE_SW_PACKAGE_WTOAC#SWFL""",1.0,"""HU-MGU_02_L has sent a 'generalReject' on the RC_ERASE_SW_PACKAGE_WTOAC#SWFL."")<|COMPLETE|>   This output is based on the provided text, which appears to be a code or message with abbreviations. The entities identified are an organization (HU-MGU_02_L) and an event (RC_ERASE_SW_PACKAGE_WTOAC#SWFL), and the relationship between them is that HU-MGU_02_L has sent a 'generalReject' on the RC_ERASE_SW_PACKAGE_WTOAC#SWFL. The geo entity is not present in this text, as it does not contain any location information. (""entity""",['b0df6b99da3afe11ce76836b5e9fb453'],932e213c57134098a07073febd51dcc2,218,1,1,2
"""HU-MGU-02_L""","""RC_READ_HTTP_UPDATE_STATUS_SP21""",1.0,"""HU-MGU-02_L is involved in the event RC_READ_HTTP_UPDATE_STATUS_SP21 where it experienced a reset or timeout.""",['21406b0be218246fde2ec92aed83430e'],9593428ad36746ae8af6d8ce639834ef,219,1,1,2
"""IDC23_U12_2307_PRODUCTION CAR""","""DTC 0XA76300/0XA76301""",1.0,"""The IDC23_U12_2307_Production Car has a diagnostic trouble code related to the crash.""",['02b8248f10030d085d6e0e72fc9f5ffc'],1bcaeb58479d42a6963a073c09f3f397,220,2,1,3
"""[MGU22_F]""","""[LIFECYCLE]""",1.0,"""[Lifecycle] is associated with [MGU22_F], which is a specific event or operation within its lifecycle.""",['941b9d29572fa96c8945389d9636cb68'],1ef0c1c59ce946668ccf1a6a4f5ab7cc,221,1,2,3
"""BI_2311TO2403""","""RSU""",1.0,"""The event BI_2311to2403 is related to an issue with the Road Side Unit (RSU).""",['2c0c1b5b31fbfa0999a6ab06a2af3d7e'],d734746e3d6146f780af91827e578dfd,222,4,6,10
"""BI_2311TO2403""","""HU_MGU_02_A""",1.0,"""The FATAL_ERROR in BI_2311to2403 is caused by the failure of HU_MGU_02_A.""",['2c0c1b5b31fbfa0999a6ab06a2af3d7e'],21ed913271614cbeb1b754cdbbef13af,223,4,1,5
"""[LIFECYCLE]""","""KL30F""",1.0,"""The [Lifecycle] involves the disabling and potential reactivation of KL30F, causing multiple wakeups.""",['e82e0a356955e412d05d2f6e3f008e05'],1505dfebbfb04652b0ba57de1a251d67,224,2,3,5
"""MULTIPLE WAKEUPS""","""KL30F""",1.0,"""The repeated instances of activity are observed in the KL30F object or system.""",['b7e2aefb1da5117e881d6cd92f6deeb3'],907ec65076e5494a8631efffb81b3178,225,1,3,4
"""SERVICE RC_ETH_PHY_SWITCH_ENGINE_RESET""","""[SV]""",1.0,"""[SV] is responsible for managing or troubleshooting the Service RC_ETH_PHY_SWITCH_ENGINE_RESET.""",['7abba7c2008a10626855aa8423929d38'],2dc7f6b230db452190a09643ca3d5ec0,226,4,1,5
